name,objectId,parentId,uid
局领导,1,"0",937849073803857900 
政治处,2,"1",937849073803857900 
机关党委,3,"1",937849073803857900 
工会,4,"1",937849073803857900 
文职事务中心,5,"1",937849073803857900 
办公室(行政审批科),6,"1",937849073803857900 
纪委监察室,7,"1",937849073803857900 
信访科,8,"1",937849073803857900 
科技通信科,9,"1",937849073803857900 
警务保障室,10,"1",937849073803857900 
指挥中心(反恐怖大队),11,"1",937849073803857900 
警务督察大队,12,"1",937849073803857900 
国内安全保卫大队,13,"1",937849073803857900 
经济犯罪侦查大队,14,"1",937849073803857900 
治安大队,15,"1",937849073803857900 
基层基础大队,16,"1",937849073803857900 
禁毒大队,18,"1",937849073803857900 
出入境管理大队,19,"1",937849073803857900 
特巡警大队,21,"1",937849073803857900 
网络警察大队,22,"1",937849073803857900 
执法监督大队,23,"1",937849073803857900 
预审大队,24,"1",937849073803857900 
有组织犯罪侦查大队,25,"1",937849073803857900 
情报信息大队,26,"1",937849073803857900 
新居民治安管理大队,27,"1",937849073803857900 
行动侦查大队,28,"1",937849073803857900 
刑事科学技术中心,29,"1",937849073803857900 
消防基础指导大队,30,"1",937849073803857900 
看守所(监所管理大队),31,"1",937849073803857900 
强制隔离戒毒所,32,"1",937849073803857900 
拘留所,33,"1",937849073803857900 
安阳派出所,34,"1",937849073803857900 
玉海派出所,35,"1",937849073803857900 
锦湖派出所,36,"1",937849073803857900 
上望派出所,37,"1",937849073803857900 
塘下派出所,38,"1",937849073803857900 
鲍田派出所,39,"1",937849073803857900 
汀田派出所,40,"1",937849073803857900 
莘塍派出所,41,"1",937849073803857900 
飞云派出所,42,"1",937849073803857900 
南滨派出所,43,"1",937849073803857900 
仙降派出所,44,"1",937849073803857900 
马屿派出所,45,"1",937849073803857900 
高楼派出所,46,"1",937849073803857900 
湖岭派出所,47,"1",937849073803857900 
陶山派出所,48,"1",937849073803857900 
三所迁建工程办公室,50,"1",937849073803857900 
边防大队,51,"1",937849073803857900 
车队,58,"1",937849073803857900 
刑侦重案中队,61,"1",937849073803857900 
刑侦合成作战中队,63,"1",937849073803857900 
刑侦侵财犯罪侦查中队,66,"1",937849073803857900 
刑侦市区中队,67,"1",937849073803857900 
刑侦塘下中队,68,"1",937849073803857900 
刑侦莘塍中队,69,"1",937849073803857900 
刑侦飞云中队,70,"1",937849073803857900 
刑侦大队部,71,"1",937849073803857900 
